,popularity,artist_name,genres,artist_id,followers
108,76,Led Zeppelin,"['album rock', 'classic rock', 'hard rock', 'rock']",36QJpDe2go2KgaRleHCDTp,"{'href': None, 'total': 12535273}"
109,74,Joey Bada$$,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']",2P5sC9cVZDToPxyomzF1UH,"{'href': None, 'total': 2719340}"
110,85,Shakira,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",0EmeFodog0BfCgMzAIvKQp,"{'href': None, 'total': 24641437}"
111,75,Clairo,"['bedroom pop', 'indie pop', 'pop']",3l0CmX0FuQjFxr8SK7Vqag,"{'href': None, 'total': 3444987}"
112,80,Kate Bush,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter', 'uk pop']",1aSxMhuvixZ8h9dK9jIDwL,"{'href': None, 'total': 1398281}"
113,76,Paramore,"['candy pop', 'pixie', 'pop emo', 'pop punk']",74XFHRwlV6OrjEM0A2NCMF,"{'href': None, 'total': 7086058}"
114,77,Swae Lee,"['melodic rap', 'trap']",1zNqQNIdeOUZHb8zbZRFMX,"{'href': None, 'total': 1532178}"
115,75,Five Finger Death Punch,"['alternative metal', 'groove metal', 'nu metal']",5t28BP42x2axFnqOOMg3CM,"{'href': None, 'total': 5649906}"
116,79,Akon,['dance pop'],0z4gvV4rjIZ9wHck67ucSV,"{'href': None, 'total': 3312371}"
117,76,French Montana,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6vXTefBL93Dj5IqAWq6OTv,"{'href': None, 'total': 4632500}"
118,73,Maren Morris,"['contemporary country', 'country', 'texas country']",6WY7D3jk8zTrHtmkqqo5GI,"{'href': None, 'total': 677589}"
119,70,Jelly Roll,"['country rap', 'nashville hip hop', 'tennessee hip hop']",19k8AgwwTSxeaxkOuCQEJs,"{'href': None, 'total': 1426370}"
120,78,5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'uk pop']",5Rl15oVamLq7FbSb0NNBNy,"{'href': None, 'total': 8788923}"
121,84,ROSALÍA,['r&b en espanol'],7ltDVBr6mKbRvohxheJ9h1,"{'href': None, 'total': 5784285}"
122,75,blink-182,"['pop punk', 'punk', 'rock', 'socal pop punk']",6FBDaR13swtiWwGhX1WQsP,"{'href': None, 'total': 7119908}"
123,79,Carin Leon,"['corrido', 'musica mexicana', 'nueva musica mexicana', 'sierreno']",66ihevNkSYNzRAl44dx6jJ,"{'href': None, 'total': 4242569}"
124,73,Weezer,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']",3jOstUTkEu2JkjvRdBA5Gu,"{'href': None, 'total': 2850488}"
